online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,No,3.1,46,Marathahalli,3,250,Delivery
Yes,No,3.1,68,Jayanagar,3,550,Dine-out
Yes,No,4.0,754,Hosur Road,1,250,Dine-out
Yes,No,4.2,823,Koramangala 6th Block,1,1000,Delivery
Yes,No,3.8,93,Vijay Nagar,1,350,Delivery
No,No,3.700448817952718,0,Rajajinagar,2,300,Delivery
Yes,No,3.9,375,Koramangala 1st Block,1,750,Dine-out
No,No,3.1,53,South Bangalore,2,450,Delivery
No,No,3.3,9,Electronic City,2,300,Dine-out
No,No,3.700448817952718,0,Jakkur,4,400,Delivery
Yes,No,3.7,21,Koramangala 5th Block,5,750,Dine-out
Yes,No,3.700448817952718,0,Shanti Nagar,2,250,Delivery
No,No,3.8,122,Jayanagar,2,400,Delivery
Yes,No,4.1,198,Kalyan Nagar,1,600,Delivery
Yes,No,4.4,1034,Whitefield,6,500,Desserts
Yes,No,3.9,92,HSR,3,250,Delivery
Yes,No,4.2,415,Banashankari,3,500,Delivery
No,No,3.700448817952718,0,Whitefield,2,300,Delivery
Yes,No,3.8,42,Brookefield,2,150,Dine-out
Yes,No,3.8,76,Basavanagudi,3,300,Delivery
Yes,No,3.5,22,Indiranagar,2,400,Delivery
No,No,3.700448817952718,0,Sarjapur Road,2,200,Desserts
Yes,No,3.8,144,Banashankari,3,700,Dine-out
Yes,No,3.6,23,Koramangala 1st Block,1,300,Dine-out
No,No,3.2,4,Marathahalli,4,350,Delivery
Yes,No,4.0,113,BTM,3,250,Delivery
Yes,No,3.4,83,Vasanth Nagar,1,200,Delivery
Yes,No,4.0,44,Sarjapur Road,4,300,Dine-out
No,No,3.3,6,Commercial Street,1,400,Delivery
